重庆联通,#genre#
 财富天下,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000263
 IPTV3+,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000150
 IPTV5+,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000149
 IPTV6+,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000148
 IPTV8+,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000147
 IPTV谍战剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000154
 IPTV相声小品,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000151
 IPTV少儿动画,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000158
 IPTV热播剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000155
 IPTV经典电影,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000156
 IPTV野外,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000153
 IPTV法治,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000152
 IPTV魅力时尚,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000157
 都市剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000336
 军旅剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000335
 古装剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000334
 音乐剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000333
 武侠剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000314
 家庭影院,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000311
 动作影院,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000312
 喜剧影院,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000313
 地理,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000337
 美妆,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000332
 美人,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000331
 精选,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000330
 解密,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000329
 军事,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000328
 国学,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000327
 戏曲,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000326
 早教,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000325
 动画,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000324
 好学生,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000323
 考古,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000322
 墨宝,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000321
 光影,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000320
 台球,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000319
 爱生活,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000318
 武术,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000317
 高网,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000316
 足球,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000315
 星影,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000310
